,school,district,county,enroll_12,num_takers_12,enroll_11,num_takers_11,benchmark_12,percent_12,benchmark_11,percent_11
272,William & Marian Ghidotti High,Nevada Joint Union High,Nevada,45,32,34,27,32.0,100.0,26.0,96.3
273,Irvine High,Irvine Unified,Orange,533,168,488,220,144.0,85.71,213.0,96.82
274,Chaparral High,Temecula Valley Unified,Riverside,722,287,725,335,161.0,56.1,245.0,73.13
275,Washington High,Colton Joint Unified,San Bernardino,16,1,9,1,7.0,7.0,7.0,7.0
276,Chula Vista Learning Community Charter,Chula Vista Elementary,San Diego,99,74,96,54,20.0,27.03,11.0,20.37
277,North Star Independent Study,Amador County Unified,Amador,17,0,20,0,0.0,0.0,0.0,0.0
278,Biggs High,Biggs Unified,Butte,57,8,57,9,7.0,7.0,7.0,7.0
279,Maricopa High,Maricopa Unified,Kern,22,6,21,3,7.0,7.0,7.0,7.0
280,Desert Junior-Senior High,Muroc Joint Unified,Kern,84,30,79,17,18.0,60.0,13.0,76.47
281,Crescenta Valley High,Glendale Unified,Los Angeles,631,266,651,342,228.0,85.71,311.0,90.94
282,"Girls Academic Leadership Academy, Dr. Michelle King School for Sci Tech Eng and Math",Los Angeles Unified,Los Angeles,0,0,47,43,0.0,0.0,13.0,30.23
283,Marina High,Monterey Peninsula Unified,Monterey,145,78,124,42,31.0,39.74,18.0,42.86
284,Summit Leadership Academy-High Desert,Hesperia Unified,San Bernardino,34,3,49,2,7.0,7.0,7.0,7.0
285,Gorman Learning Center,Gorman Joint,Los Angeles,113,25,125,9,12.0,48.0,7.0,7.0
286,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,95,47,93,44,10.0,21.28,11.0,25.0
287,Moneta Continuation,Los Angeles Unified,Los Angeles,6,1,13,22,7.0,7.0,0.0,0.0
288,San Antonio Continuation,Los Angeles Unified,Los Angeles,23,2,39,9,7.0,7.0,7.0,7.0
289,La Puente High,Hacienda la Puente Unified,Los Angeles,254,193,257,76,42.0,21.76,26.0,34.21
290,William Workman High,Hacienda la Puente Unified,Los Angeles,229,206,283,265,32.0,15.53,48.0,18.11
291,Paloma Valley High,Perris Union High,Riverside,717,256,744,190,102.0,39.84,137.0,72.11
292,Calaveras Unified Alternative-Sierra Hills Education Center,Calaveras Unified,Calaveras,15,0,13,0,0.0,0.0,0.0,0.0
293,Reedley Middle College High,Kings Canyon Joint Unified,Fresno,34,22,52,40,6.0,27.27,18.0,45.0
294,La Canada High,La Canada Unified,Los Angeles,346,170,339,178,156.0,91.76,174.0,97.75
295,Thomas Riley High,Los Angeles Unified,Los Angeles,16,5,18,12,7.0,7.0,7.0,7.0
296,Robert H. Lewis Continuation,Los Angeles Unified,Los Angeles,19,3,24,9,7.0,7.0,7.0,7.0
297,George S. Patton Continuation,Los Angeles Unified,Los Angeles,16,1,20,38,7.0,7.0,1.0,2.63
298,Will Rogers Continuation,Los Angeles Unified,Los Angeles,83,2,38,22,7.0,7.0,2.0,9.09
299,High Desert Premier Academy,Apple Valley Unified,San Bernardino,64,0,50,3,0.0,0.0,7.0,7.0
300,John F. Kennedy High,Fremont Unified,Alameda,310,124,328,114,68.0,54.84,88.0,77.19
301,La Paloma High (Continuation),Liberty Union High,Contra Costa,128,1,38,0,7.0,7.0,0.0,0.0
302,Lassen High,Lassen Union High,Lassen,188,40,181,42,16.0,40.0,30.0,71.43
303,Da Vinci Design,Wiseburn Unified,Los Angeles,164,47,138,61,10.0,21.28,27.0,44.26
304,Boys Republic High,Chino Valley Unified,San Bernardino,50,3,35,2,7.0,7.0,7.0,7.0
305,Leadership Public Schools - Hayward,Hayward Unified,Alameda,140,106,147,125,51.0,48.11,46.0,36.8
306,Six Rivers Charter High,Northern Humboldt Union High,Humboldt,18,4,24,9,7.0,7.0,7.0,7.0
307,Fortuna Union High,Fortuna Union High,Humboldt,183,56,178,39,27.0,48.21,20.0,51.28
308,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,133,42,141,88,6.0,14.29,14.0,15.91
309,Richard A. Alonzo Community Day,Los Angeles Unified,Los Angeles,72,2,15,21,7.0,7.0,0.0,0.0
310,Val Verde Academy,Val Verde Unified,Riverside,62,7,12,12,7.0,7.0,7.0,7.0
311,High Tech High Chula Vista,SBC - High Tech High,San Diego,147,91,137,101,19.0,20.88,35.0,34.65
312,Grossmont Secondary,SBE - Grossmont Secondary,San Diego,113,4,40,2,7.0,7.0,7.0,7.0
313,Skyline High,Oakland Unified,Alameda,398,138,378,157,43.0,31.16,58.0,36.94
314,Family First Charter,Centinela Valley Union High,Los Angeles,92,0,76,0,0.0,0.0,0.0,0.0
315,Fort Bragg High,Fort Bragg Unified,Mendocino,107,30,132,39,18.0,60.0,23.0,58.97
316,Bolsa Grande High,Garden Grove Unified,Orange,477,245,476,306,130.0,53.06,177.0,57.84
317,C. K. McClatchy High,Sacramento City Unified,Sacramento,504,113,575,505,64.0,56.64,196.0,38.81
318,San Leandro High,San Leandro Unified,Alameda,662,193,599,458,77.0,39.9,122.0,26.64
319,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Los Angeles Unified,Los Angeles,94,41,72,85,2.0,4.88,12.0,14.12
320,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,Los Angeles,137,135,135,115,18.0,13.33,26.0,22.61
321,South Pasadena Senior High,South Pasadena Unified,Los Angeles,369,181,329,182,159.0,87.85,171.0,93.96
322,La Quinta High,Desert Sands Unified,Riverside,618,252,639,566,102.0,40.48,187.0,33.04
323,Horizon,Desert Sands Unified,Riverside,41,4,42,45,7.0,7.0,8.0,17.78
324,America's Finest Charter,San Diego Unified,San Diego,0,0,12,7,0.0,0.0,7.0,7.0
325,National University Academy 1001 STEAM,San Diego Unified,San Diego,26,0,15,0,0.0,0.0,0.0,0.0
326,Summit Public School: Denali,Santa Clara County Office of Education,Santa Clara,0,0,97,80,0.0,0.0,63.0,78.75
327,De Anza High,West Contra Costa Unified,Contra Costa,332,291,343,91,46.0,15.81,32.0,35.16
328,Highland High,Antelope Valley Union High,Los Angeles,691,161,598,540,57.0,35.4,91.0,16.85
329,R. Rex Parris High,Antelope Valley Union High,Los Angeles,410,4,272,64,7.0,7.0,0.0,0.0
330,Azusa High,Azusa Unified,Los Angeles,291,95,291,269,34.0,35.79,59.0,21.93
331,Larchmont Charter,Los Angeles Unified,Los Angeles,112,67,103,61,37.0,55.22,43.0,70.49
332,Needles High,Needles Unified,San Bernardino,63,17,53,11,4.0,23.53,7.0,7.0
333,National University Academy,Lakeside Union Elementary,San Diego,21,5,6,2,7.0,7.0,7.0,7.0
334,Downtown High,San Francisco Unified,San Francisco,36,0,66,1,0.0,0.0,7.0,7.0
335,Independence High,San Francisco Unified,San Francisco,68,8,51,6,7.0,7.0,7.0,7.0
336,Redwood High,Sequoia Union High,San Mateo,173,3,52,1,7.0,7.0,7.0,7.0
337,Santa Cruz County Career Advancement Charter,Santa Cruz County Office of Education,Santa Cruz,106,0,0,0,0.0,0.0,0.0,0.0
338,Bidwell Continuation High,Antioch Unified,Contra Costa,107,1,42,0,7.0,7.0,0.0,0.0
339,Prospects High (Alternative),Antioch Unified,Contra Costa,175,1,54,2,7.0,7.0,7.0,7.0
340,Hanford High,Hanford Joint Union High,Kings,335,79,387,65,26.0,32.91,29.0,44.62
341,John H. Francis Polytechnic,Los Angeles Unified,Los Angeles,675,254,618,573,83.0,32.68,157.0,27.4
342,King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,334,192,343,330,61.0,31.77,94.0,28.48
343,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226,127,234,177,39.0,30.71,51.0,28.81
344,Gabrielino High,San Gabriel Unified,Los Angeles,433,204,413,205,146.0,71.57,170.0,82.93
345,Options for Youth-Acton,Acton-Agua Dulce Unified,Los Angeles,165,38,344,45,3.0,7.89,8.0,17.78
346,Calistoga Junior-Senior High,Calistoga Joint Unified,Napa,45,16,49,31,3.0,18.75,3.0,9.68
347,Foothill High,Pleasanton Unified,Alameda,498,179,562,360,151.0,84.36,336.0,93.33
348,Augustus F. Hawkins High A Critical Design and Gaming,Los Angeles Unified,Los Angeles,121,50,135,100,4.0,8.0,4.0,4.0
349,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",Los Angeles Unified,Los Angeles,138,78,132,117,23.0,29.49,38.0,32.48
350,Villa Park High,Orange Unified,Orange,584,489,541,144,207.0,42.33,108.0,75.0
351,Rubidoux High,Jurupa Unified,Riverside,350,113,384,76,27.0,23.89,23.0,30.26
352,Sem Yeto Continuation High,Fairfield-Suisun Unified,Solano,221,0,151,3,0.0,0.0,7.0,7.0
353,Downieville Junior-Senior High,Sierra-Plumas Joint Unified,Sierra,2,0,3,1,0.0,0.0,7.0,7.0
354,Golden Sierra Junior Senior High,Black Oak Mine Unified,El Dorado,76,12,78,9,7.0,7.0,7.0,7.0
355,Patriot High,Jurupa Unified,Riverside,539,201,564,149,76.0,37.81,70.0,46.98
356,Hoover High,San Diego Unified,San Diego,489,201,518,219,53.0,26.37,59.0,26.94
357,Madison High,San Diego Unified,San Diego,221,82,247,114,21.0,25.61,43.0,37.72
358,University Preparatory High,Tulare County Office of Education,Tulare,50,26,67,25,16.0,61.54,20.0,80.0
359,Alpaugh -Senior High,Alpaugh Unified,Tulare,24,11,13,1,7.0,7.0,7.0,7.0
360,Uplift California South Charter,Bradley Union Elementary,Monterey,31,0,10,2,0.0,0.0,7.0,7.0
361,Oak Grove High,East Side Union High,Santa Clara,399,148,470,379,66.0,44.59,131.0,34.56
362,Silver Creek High,East Side Union High,Santa Clara,592,268,579,508,181.0,67.54,259.0,50.98
363,Arroyo Grande High,Lucia Mar Unified,San Luis Obispo,503,131,491,199,83.0,63.36,146.0,73.37
364,Monta Vista High,Fremont Union High,Santa Clara,584,197,569,397,191.0,96.95,388.0,97.73
365,Butterfield Charter,Porterville Unified,Tulare,144,0,115,1,0.0,0.0,7.0,7.0
366,Montgomery High,Santa Rosa High,Sonoma,354,98,398,87,60.0,61.22,64.0,73.56
367,Santa Clara High,Santa Clara Unified,Santa Clara,430,171,472,364,101.0,59.06,170.0,46.7
368,Whitmore Charter High,Ceres Unified,Stanislaus,37,20,32,10,10.0,50.0,7.0,7.0
369,Half Moon Bay High,Cabrillo Unified,San Mateo,223,77,253,70,44.0,57.14,55.0,78.57
370,Broadway High,San Jose Unified,Santa Clara,138,2,63,39,7.0,7.0,0.0,0.0
371,Orchard View,Twin Hills Union Elementary,Sonoma,25,3,30,6,7.0,7.0,7.0,7.0
372,North Bay Met Academy,Windsor Unified,Sonoma,42,0,24,0,0.0,0.0,0.0,0.0
373,James C. Enochs High,Modesto City High,Stanislaus,577,199,565,177,103.0,51.76,136.0,76.84
374,Oak Park High,Oak Park Unified,Ventura,377,155,362,203,138.0,89.03,191.0,94.09
375,Mojave River Academy - Gold Canyon,Oro Grande,San Bernardino,27,1,31,1,7.0,7.0,7.0,7.0
376,Mojave River Academy - Rockview Park,Oro Grande,San Bernardino,23,0,29,0,0.0,0.0,0.0,0.0
377,Orestimba High,Newman-Crows Landing Unified,Stanislaus,216,66,226,204,21.0,31.82,48.0,23.53
378,Linden High,Linden Unified,San Joaquin,151,33,153,48,14.0,42.42,18.0,37.5
379,Uplift California Santa Barbara,Cuyama Joint Unified,Santa Barbara,186,1,84,1,7.0,7.0,7.0,7.0
380,University Preparatory,Shasta Union High,Shasta,127,72,118,68,61.0,84.72,61.0,89.71
381,Shasta High,Shasta Union High,Shasta,328,69,366,88,56.0,81.16,80.0,90.91
382,Yuba City Independence Academy,Yuba City Unified,Sutter,21,1,19,0,7.0,7.0,0.0,0.0
383,Ygnacio Valley High,Mt. Diablo Unified,Contra Costa,271,85,308,51,28.0,32.94,19.0,37.25
384,ICEF View Park Preparatory High,Los Angeles Unified,Los Angeles,120,73,170,25,6.0,8.22,2.0,8.0
385,Monterey Trail High,Elk Grove Unified,Sacramento,583,245,579,207,99.0,40.41,115.0,55.56
386,Helix High,Grossmont Union High,San Diego,578,238,592,323,148.0,62.18,243.0,75.23
387,Santana High,Grossmont Union High,San Diego,420,112,381,109,67.0,59.82,76.0,69.72
388,Da Vinci Charter Academy,Davis Joint Unified,Yolo,88,38,97,54,30.0,78.95,46.0,85.19
389,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,766,270,821,567,244.0,90.37,549.0,96.83
390,Frida Kahlo High,Los Angeles Unified,Los Angeles,28,2,54,22,7.0,7.0,0.0,0.0
391,New Village Girls Academy,Los Angeles Unified,Los Angeles,19,9,14,6,7.0,7.0,7.0,7.0
392,Panorama High,Los Angeles Unified,Los Angeles,269,142,278,224,10.0,7.04,18.0,8.04
393,Terra Linda High,San Rafael City High,Marin,300,126,301,157,71.0,56.35,114.0,72.61
394,San Andreas High (Continuation),Tamalpais Union High,Marin,45,3,20,1,7.0,7.0,7.0,7.0
395,Sacramento Charter High,Sacramento City Unified,Sacramento,151,85,159,95,13.0,15.29,22.0,23.16
396,Crawford High,San Diego Unified,San Diego,218,168,279,126,20.0,11.9,25.0,19.84
397,Turlock High,Turlock Unified,Stanislaus,543,171,605,143,81.0,47.37,100.0,69.93
398,Artesia High,ABC Unified,Los Angeles,344,95,338,102,33.0,34.74,33.0,32.35
399,CATCH Prep Charter High Inc.,Los Angeles Unified,Los Angeles,37,33,41,35,2.0,6.06,3.0,8.57
400,Madera High,Madera Unified,Madera,467,71,473,424,25.0,35.21,79.0,18.63
401,Oxford Academy,Anaheim Union High,Orange,200,113,190,151,106.0,93.81,148.0,98.01
402,Katella High,Anaheim Union High,Orange,651,199,654,176,42.0,21.11,63.0,35.8
403,Loara High,Anaheim Union High,Orange,482,129,490,120,47.0,36.43,53.0,44.17
404,Savanna High,Anaheim Union High,Orange,482,114,456,136,50.0,43.86,42.0,30.88
405,Brea-Olinda High,Brea-Olinda Unified,Orange,476,203,408,142,147.0,72.41,125.0,88.03
406,Del Oro High,Placer Union High,Placer,410,165,400,152,115.0,69.7,129.0,84.87
407,Aspire Richmond Ca. College Preparatory Academy,West Contra Costa Unified,Contra Costa,50,0,53,6,0.0,0.0,7.0,7.0
408,Hercules High,West Contra Costa Unified,Contra Costa,219,208,236,70,76.0,36.54,61.0,87.14
409,Richmond High,West Contra Costa Unified,Contra Costa,386,322,382,94,40.0,12.42,25.0,26.6
410,Eastside High,Antelope Valley Union High,Los Angeles,562,185,480,415,18.0,9.73,31.0,7.47
411,SOAR High (Students On Academic Rise),Antelope Valley Union High,Los Angeles,86,66,102,99,42.0,63.64,70.0,70.71
412,Desert Winds Continuation High,Antelope Valley Union High,Los Angeles,377,2,244,92,7.0,7.0,1.0,1.09
413,Gladstone High,Azusa Unified,Los Angeles,266,91,284,270,38.0,41.76,71.0,26.3
414,Maywood Academy High,Los Angeles Unified,Los Angeles,249,109,226,220,9.0,8.26,26.0,11.82
415,Palos Verdes High,Palos Verdes Peninsula Unified,Los Angeles,451,179,412,191,140.0,78.21,171.0,89.53
416,Buena Vista High,Paramount Unified,Los Angeles,142,68,52,63,0.0,0.0,1.0,1.59
417,Community Collaborative Virtual - Sage Oak Charter,Helendale Elementary,San Bernardino,37,5,66,10,7.0,7.0,7.0,7.0
418,Harbor Springs Charter,Julian Union Elementary,San Diego,10,0,9,1,0.0,0.0,7.0,7.0
419,East Bay Arts High,San Lorenzo Unified,Alameda,42,16,49,8,4.0,25.0,7.0,7.0
420,Augustus F. Hawkins High B Community Health Advocates,Los Angeles Unified,Los Angeles,93,40,120,87,0.0,0.0,1.0,1.15
421,Dos Palos High,Dos Palos Oro Loma Joint Unified,Merced,159,43,149,30,7.0,16.28,19.0,63.33
422,Delhi High,Delhi Unified,Merced,167,82,169,59,14.0,17.07,13.0,22.03
423,Richland Continuation High,Orange Unified,Orange,134,77,74,1,0.0,0.0,7.0,7.0
424,Calaveras High,Calaveras Unified,Calaveras,189,37,198,71,26.0,70.27,41.0,57.75
425,Dunlap Leadership Academy,Kings Canyon Joint Unified,Fresno,17,0,13,2,0.0,0.0,7.0,7.0
426,Reedley High,Kings Canyon Joint Unified,Fresno,348,100,474,143,35.0,35.0,57.0,39.86
427,John R. Wooden High,Los Angeles Unified,Los Angeles,14,1,33,0,7.0,7.0,0.0,0.0
428,Jack London Continuation,Los Angeles Unified,Los Angeles,31,14,34,2,7.0,7.0,7.0,7.0
429,Gonzales High,Gonzales Unified,Monterey,182,54,177,62,8.0,14.81,8.0,12.9
430,Borrego Springs High,Borrego Springs Unified,San Diego,36,14,27,9,7.0,7.0,7.0,7.0
431,Insight @ San Diego,Spencer Valley Elementary,San Diego,116,1,76,0,7.0,7.0,0.0,0.0
432,Olympian High,Sweetwater Union High,San Diego,631,319,604,276,221.0,69.28,218.0,78.99
433,San Ysidro High,Sweetwater Union High,San Diego,702,195,569,181,76.0,38.97,76.0,41.99
434,Aspire Ollin University Preparatory Academy,Los Angeles County Office of Education,Los Angeles,118,61,91,29,10.0,16.39,12.0,41.38
435,High Tech LA,Los Angeles Unified,Los Angeles,90,63,91,62,42.0,66.67,46.0,74.19
436,Antelope Valley Learning Academy,Palmdale Elementary,Los Angeles,235,7,426,0,7.0,7.0,0.0,0.0
437,Tesoro High,Capistrano Unified,Orange,668,250,639,266,189.0,75.6,243.0,91.35
438,McLane High,Fresno Unified,Fresno,366,57,423,284,9.0,15.79,21.0,7.39
439,Compton Early College High,Compton Unified,Los Angeles,65,43,85,79,18.0,41.86,30.0,37.97
440,Learning for Life Charter,Monterey Peninsula Unified,Monterey,40,1,39,1,7.0,7.0,7.0,7.0
441,Rio Linda High,Twin Rivers Unified,Sacramento,318,283,375,61,78.0,27.56,32.0,52.46
442,Encore Jr./Sr. High School for the Performing and Visual Arts,Hesperia Unified,San Bernardino,113,42,137,17,5.0,11.9,8.0,47.06
443,Sultana High,Hesperia Unified,San Bernardino,429,108,423,54,39.0,36.11,34.0,62.96
444,Central Coast New Tech High,Lucia Mar Unified,San Luis Obispo,61,19,63,22,11.0,57.89,11.0,50.0
445,Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,19,0,4,1,0.0,0.0,7.0,7.0
446,Miramonte High,Acalanes Union High,Contra Costa,319,105,325,193,93.0,88.57,179.0,92.75
447,Corcoran High,Corcoran Joint Unified,Kings,169,49,211,36,16.0,32.65,5.0,13.89
448,El Camino Real Charter High,Los Angeles Unified,Los Angeles,904,306,863,278,199.0,65.03,228.0,82.01
449,Fairfax Senior High,Los Angeles Unified,Los Angeles,361,200,339,274,85.0,42.5,101.0,36.86
450,Sherman Oaks Center for Enriched Studies,Los Angeles Unified,Los Angeles,232,130,251,225,74.0,56.92,137.0,60.89
451,Empower Generations,Acton-Agua Dulce Unified,Los Angeles,19,0,16,0,0.0,0.0,0.0,0.0
452,Chaffey District Online High,Chaffey Joint Union High,San Bernardino,31,17,17,9,10.0,58.82,7.0,7.0
453,Hilltop Senior High,Sweetwater Union High,San Diego,599,188,511,148,92.0,48.94,91.0,61.49
454,Alternatives in Action,Alameda Unified,Alameda,53,25,52,26,0.0,0.0,0.0,0.0
455,Vista West Continuation High,Kern High,Kern,210,0,84,2,0.0,0.0,7.0,7.0
456,North High,Kern High,Kern,404,104,433,67,26.0,25.0,30.0,44.78
457,Ruben Salazar Continuation,El Rancho Unified,Los Angeles,112,1,35,0,7.0,7.0,0.0,0.0
458,Early College Academy-LA Trade Tech College,Los Angeles Unified,Los Angeles,33,3,37,36,7.0,7.0,3.0,8.33
459,Sierra Vista High (Alternative),Whittier Union High,Los Angeles,143,0,57,2,0.0,0.0,7.0,7.0
460,West Ranch High,William S. Hart Union High,Los Angeles,655,293,550,265,238.0,81.23,248.0,93.58
461,Bowman (Jereann) High (Continuation),William S. Hart Union High,Los Angeles,308,2,91,0,7.0,7.0,0.0,0.0
462,Opportunities for Learning - Santa Clarita,William S. Hart Union High,Los Angeles,149,18,168,15,6.0,33.33,4.0,26.67
463,Edison High,Stockton Unified,San Joaquin,525,170,579,143,28.0,16.47,36.0,25.17
464,ACE Charter High,East Side Union High,Santa Clara,41,0,92,0,0.0,0.0,0.0,0.0
465,Vacaville High,Vacaville Unified,Solano,431,189,464,161,107.0,56.61,114.0,70.81
466,John Swett High,John Swett Unified,Contra Costa,101,38,135,60,18.0,47.37,37.0,61.67
467,Youth Opportunities Unlimited,Los Angeles Unified,Los Angeles,75,11,82,57,7.0,7.0,0.0,0.0
468,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,357,105,438,362,18.0,17.14,40.0,11.05
469,Century High,Alhambra Unified,Los Angeles,78,3,55,0,7.0,7.0,0.0,0.0
470,Forest Charter,Nevada County Office of Education,Nevada,88,0,77,0,0.0,0.0,0.0,0.0
471,Woodbridge High,Irvine Unified,Orange,616,229,581,270,198.0,86.46,256.0,94.81
472,Murrieta Canyon Academy,Murrieta Valley Unified,Riverside,135,6,83,1,7.0,7.0,7.0,7.0
473,Valley Charter High,Stanislaus County Office of Education,Stanislaus,29,7,33,2,7.0,7.0,7.0,7.0
474,Del Norte High,Del Norte County Unified,Del Norte,203,71,205,66,30.0,42.25,37.0,56.06
475,Clarksville Charter,Buckeye Union Elementary,El Dorado,25,0,38,1,0.0,0.0,7.0,7.0
476,Burbank High,Burbank Unified,Los Angeles,586,230,660,219,164.0,71.3,191.0,87.21
477,Olive Grove Charter - Orcutt/Santa Maria,SBE - Olive Grove Charter - Orcutt/Santa Maria,Santa Barbara,42,3,59,1,7.0,7.0,7.0,7.0
478,North State Independence High,Shasta Union High,Shasta,53,0,36,0,0.0,0.0,0.0,0.0
479,Synergy Quantum Academy,Los Angeles Unified,Los Angeles,125,88,131,66,15.0,17.05,19.0,28.79
480,Atwater High,Merced Union High,Merced,474,119,417,88,31.0,26.05,39.0,44.32
481,Estancia High,Newport-Mesa Unified,Orange,325,89,301,74,26.0,29.21,32.0,43.24
482,West Valley High,Hemet Unified,Riverside,437,338,399,92,55.0,16.27,27.0,29.35
483,La Vista Center,San Juan Unified,Sacramento,15,3,12,0,7.0,7.0,0.0,0.0
484,San Juan Choices Charter,San Juan Unified,Sacramento,74,5,61,2,7.0,7.0,7.0,7.0
485,Oak Ridge High,El Dorado Union High,El Dorado,592,256,613,330,218.0,85.16,304.0,92.12
486,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Los Angeles Unified,Los Angeles,79,35,83,70,3.0,8.57,6.0,8.57
487,Palm Desert High,Desert Sands Unified,Riverside,435,136,463,425,87.0,63.97,180.0,42.35
488,Kit Carson International Academy,Sacramento City Unified,Sacramento,13,12,21,18,7.0,7.0,5.0,27.78
489,Arlington High,Riverside Unified,Riverside,434,192,477,158,55.0,28.65,72.0,45.57
490,Alta Vista Innovation High,Lucerne Valley Unified,San Bernardino,190,8,401,1,7.0,7.0,7.0,7.0
491,William C. Overfelt High,East Side Union High,Santa Clara,339,133,345,260,33.0,24.81,73.0,28.08
492,Harmony Magnet Academy,Porterville Unified,Tulare,109,75,130,52,36.0,48.0,34.0,65.38
493,Ann Sobrato High,Morgan Hill Unified,Santa Clara,292,163,362,160,114.0,69.94,127.0,79.38
494,Monte Vista,Simi Valley Unified,Ventura,73,3,85,2,7.0,7.0,7.0,7.0
495,All Tribes Charter,Warner Unified,San Diego,10,1,8,1,7.0,7.0,7.0,7.0
496,Valley Center Prep,Valley Center-Pauma Unified,San Diego,15,0,7,0,0.0,0.0,0.0,0.0
