,school,district,county,enroll_12,num_takers_12,avg_score_read,avg_score_eng,avg_score_math,avg_score_sci,num_above_benchmark,percent_above_benchmark
2192,Valley Center Prep,Valley Center-Pauma Unified,San Diego,15,0,0,0,0,0,0,0.0
2193,Valley Charter High,Stanislaus County Office of Education,Stanislaus,29,0,0,0,0,0,0,0.0
2194,Valley High,Elk Grove Unified,Sacramento,369,70,19,18,19,20,20,28.57
2195,Valley High,Santa Ana Unified,Orange,466,66,18,17,18,18,14,21.21
2196,Valley International Preparatory High,Los Angeles Unified,Los Angeles,71,20,26,22,20,22,13,65.0
2197,Valley Oaks Charter,Kern County Office of Education,Kern,89,0,0,0,0,0,0,0.0
2198,Valley Oaks High (Alternative),Petaluma Joint Union High,Sonoma,19,1,7,7,7,7,7,7.0
2199,Valley View High,Moreno Valley Unified,Riverside,595,36,22,21,21,21,16,44.44
2200,Valor Academy High,Los Angeles Unified,Los Angeles,122,82,15,15,17,17,8,9.76
2201,Van Nuys Senior High,Los Angeles Unified,Los Angeles,535,97,26,26,25,25,80,82.47
2202,Vanden High,Travis Unified,Solano,367,40,25,23,23,24,28,70.0
2203,Vasquez High,Acton-Agua Dulce Unified,Los Angeles,86,8,7,7,7,7,7,7.0
2204,Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,157,35,18,17,17,18,7,20.0
2205,Venice Senior High,Los Angeles Unified,Los Angeles,398,96,23,22,22,22,57,59.38
2206,Ventura High,Ventura Unified,Ventura,480,88,24,22,22,22,59,67.05
2207,Venture (Alternative),San Ramon Valley Unified,Contra Costa,50,5,7,7,7,7,7,7.0
2208,Venture Academy,San Joaquin County Office of Education,San Joaquin,266,22,18,17,17,18,4,18.18
2209,Verdugo Academy,Glendale Unified,Los Angeles,24,4,7,7,7,7,7,7.0
2210,Verdugo Hills Senior High,Los Angeles Unified,Los Angeles,327,14,7,7,7,7,7,7.0
2211,Victor Valley High,Victor Valley Union High,San Bernardino,425,39,18,17,19,18,8,20.51
2212,View Park Continuation,Los Angeles Unified,Los Angeles,39,4,7,7,7,7,7,7.0
2213,Villa Park High,Orange Unified,Orange,584,85,25,26,25,25,70,82.35
2214,Village Academy High School at Indian Hill,Pomona Unified,Los Angeles,74,6,7,7,7,7,7,7.0
2215,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,49,3,7,7,7,7,7,7.0
2216,Vintage High,Napa Valley Unified,Napa,396,59,22,20,21,21,32,54.24
2217,Visalia Charter Independent Study,Visalia Unified,Tulare,232,3,7,7,7,7,7,7.0
2218,Visalia Technical Early College,Visalia Unified,Tulare,70,3,7,7,7,7,7,7.0
2219,Visions In Education,San Juan Unified,Sacramento,1107,13,7,7,7,7,7,7.0
2220,Vista Alternative,Fremont Unified,Alameda,20,0,0,0,0,0,0,0.0
2221,Vista del Lago High,Folsom-Cordova Unified,Sacramento,441,107,26,27,26,26,93,86.92
2222,Vista del Lago High,Moreno Valley Unified,Riverside,450,121,18,17,18,18,23,19.01
2223,Vista High,Vista Unified,San Diego,545,60,23,21,21,22,31,51.67
2224,Vista High (Alternative),West Contra Costa Unified,Contra Costa,170,2,7,7,7,7,7,7.0
2225,Vista Murrieta High,Murrieta Valley Unified,Riverside,884,165,24,22,23,22,111,67.27
2226,Vista Norte Public Charter,Helendale Elementary,San Bernardino,18,0,0,0,0,0,0,0.0
2227,Vista Oaks Charter,Byron Union Elementary,Contra Costa,104,5,7,7,7,7,7,7.0
2228,Vista Real Charter High,Ventura County Office of Education,Ventura,130,0,0,0,0,0,0,0.0
2229,Vista Visions Academy,Vista Unified,San Diego,15,0,0,0,0,0,0,0.0
2230,Visual and Performing Arts at Legacy High School Complex,Los Angeles Unified,Los Angeles,115,5,7,7,7,7,7,7.0
2231,W.E.B. DuBois Public Charter,Washington Unified,Fresno,74,0,0,0,0,0,0,0.0
2232,Wallenberg (Raoul) Traditional High,San Francisco Unified,San Francisco,168,33,23,23,22,23,22,66.67
2233,Wallis Annenberg High,Los Angeles Unified,Los Angeles,98,7,7,7,7,7,7,7.0
2234,Walnut High,Walnut Valley Unified,Los Angeles,666,128,27,27,28,27,111,86.72
2235,Walnutwood High (Independent Study),Folsom-Cordova Unified,Sacramento,79,2,7,7,7,7,7,7.0
2236,Warren (Earl) High,Downey Unified,Los Angeles,845,48,23,23,23,22,32,66.67
2237,Wasco High,Wasco Union High,Kern,391,71,19,18,20,20,24,33.8
2238,Washington (George) High,San Francisco Unified,San Francisco,489,94,21,21,22,22,55,58.51
2239,Washington High,Colton Joint Unified,San Bernardino,16,0,0,0,0,0,0,0.0
2240,Washington High,Washington Unified,Fresno,240,121,16,15,16,16,10,8.26
2241,Washington High,Fremont Unified,Alameda,457,65,28,28,28,27,60,92.31
2242,Waterford High,Waterford Unified,Stanislaus,163,2,7,7,7,7,7,7.0
2243,Watsonville High,Pajaro Valley Unified,Santa Cruz,455,110,17,16,18,18,20,18.18
2244,Weber Institute,Stockton Unified,San Joaquin,108,5,7,7,7,7,7,7.0
2245,Weed High,Siskiyou Union High,Siskiyou,44,8,7,7,7,7,7,7.0
2246,WESM Health/Sports Medicine,Los Angeles Unified,Los Angeles,182,35,18,17,18,18,6,17.14
2247,West Adams Preparatory High,Los Angeles Unified,Los Angeles,252,13,7,7,7,7,7,7.0
2248,West Campus,Sacramento City Unified,Sacramento,194,46,25,24,23,23,34,73.91
2249,West Covina High,West Covina Unified,Los Angeles,514,25,24,24,24,23,16,64.0
2250,West High,Kern High,Kern,537,51,20,18,20,20,22,43.14
2251,West High,Torrance Unified,Los Angeles,495,123,25,26,25,25,97,78.86
2252,West Hills High,Grossmont Union High,San Diego,421,49,25,24,23,23,38,77.55
2253,West Hollywood Opportunity,Los Angeles Unified,Los Angeles,17,0,0,0,0,0,0,0.0
2254,West Park Charter Academy,West Park Elementary,Fresno,69,0,0,0,0,0,0,0.0
2255,West Ranch High,William S. Hart Union High,Los Angeles,655,182,27,27,26,26,156,85.71
2256,West Shores High,Coachella Valley Unified,Riverside,63,4,7,7,7,7,7,7.0
2257,West Valley High,Anderson Union High,Shasta,214,23,24,21,21,23,16,69.57
2258,West Valley High,Hemet Unified,Riverside,437,72,19,18,18,19,25,34.72
2259,Western Center Academy,Hemet Unified,Riverside,67,21,26,25,23,24,16,76.19
2260,Western High,Anaheim Union High,Orange,498,54,19,18,20,20,17,31.48
2261,Western Sierra Collegiate Academy,Rocklin Unified,Placer,119,32,26,24,21,24,23,71.88
2262,Westlake High,Conejo Valley Unified,Ventura,547,146,27,28,26,26,126,86.3
2263,Westminster High,Huntington Beach Union High,Orange,628,48,22,21,23,22,30,62.5
2264,Westmont High,Campbell Union High,Santa Clara,354,71,28,28,25,26,60,84.51
2265,Westmoor High,Jefferson Union High,San Mateo,395,28,24,25,25,24,25,89.29
2266,Weston Ranch High,Manteca Unified,San Joaquin,285,11,7,7,7,7,7,7.0
2267,Westview High,Poway Unified,San Diego,596,212,28,29,28,27,193,91.04
2268,Wheatland Union High,Wheatland Union High,Yuba,166,18,23,21,21,22,10,55.56
2269,Whitman Continuation,Los Angeles Unified,Los Angeles,18,1,7,7,7,7,7,7.0
2270,Whitmore Charter High,Ceres Unified,Stanislaus,37,2,7,7,7,7,7,7.0
2271,Whitney (Gretchen) High,ABC Unified,Los Angeles,165,55,31,31,30,29,54,98.18
2272,Whitney High,Rocklin Unified,Placer,458,112,26,25,25,25,98,87.5
2273,Whittier High,Whittier Union High,Los Angeles,432,60,18,18,19,18,16,26.67
2274,Will C. Wood High,Vacaville Unified,Solano,329,30,24,23,24,23,23,76.67
2275,William & Marian Ghidotti High,Nevada Joint Union High,Nevada,45,6,7,7,7,7,7,7.0
2276,William C. Overfelt High,East Side Union High,Santa Clara,339,106,17,16,18,18,20,18.87
2277,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668,52,20,18,19,19,21,40.38
2278,William S. Hart High,William S. Hart Union High,Los Angeles,540,110,26,25,24,24,91,82.73
2279,William Workman High,Hacienda la Puente Unified,Los Angeles,229,14,7,7,7,7,7,7.0
2280,Williams Junior/Senior High,Williams Unified,Colusa,78,5,7,7,7,7,7,7.0
2281,Willits High,Willits Unified,Mendocino,76,7,7,7,7,7,7,7.0
2282,Willow Glen High,San Jose Unified,Santa Clara,407,55,26,25,24,25,42,76.36
2283,Willows High,Willows Unified,Glenn,115,5,7,7,7,7,7,7.0
2284,Wilmer Amina Carter High,Rialto Unified,San Bernardino,583,34,18,18,18,18,10,29.41
2285,Wilson Alternative,Santa Clara Unified,Santa Clara,140,0,0,0,0,0,0,0.0
2286,Wilson High,Long Beach Unified,Los Angeles,818,75,24,23,22,22,47,62.67
2287,Windsor High,Windsor Unified,Sonoma,394,116,23,22,21,22,70,60.34
2288,Winters High,Winters Joint Unified,Yolo,102,6,7,7,7,7,7,7.0
2289,Wonderful College Prep Academy,Kern County Office of Education,Kern,128,126,18,18,18,18,35,27.78
2290,Woodbridge High,Irvine Unified,Orange,616,174,27,27,27,26,153,87.93
2291,Woodcreek High,Roseville Joint Union High,Placer,537,132,25,24,24,25,110,83.33
2292,Woodlake High,Woodlake Unified,Tulare,151,30,18,18,19,18,8,26.67
2293,Woodland Senior High,Woodland Joint Unified,Yolo,343,59,19,18,18,19,22,37.29
2294,Woodrow Wilson Senior High,Los Angeles Unified,Los Angeles,317,68,18,17,17,18,11,16.18
2295,Woodside High,Sequoia Union High,San Mateo,441,106,24,23,23,23,75,70.75
2296,Yerba Buena High,East Side Union High,Santa Clara,420,13,7,7,7,7,7,7.0
2297,Ygnacio Valley High,Mt. Diablo Unified,Contra Costa,271,18,23,21,22,22,9,50.0
2298,Yorba Linda High,Placentia-Yorba Linda Unified,Orange,448,104,25,24,25,24,83,79.81
2299,Yosemite High,Yosemite Unified,Madera,135,33,22,21,22,22,19,57.58
2300,Youth Opportunities Unlimited,Los Angeles Unified,Los Angeles,75,0,0,0,0,0,0,0.0
2301,YouthBuild Charter School of California,Inyo County Office of Education,Inyo,194,0,0,0,0,0,0,0.0
2302,Yreka High,Yreka Union High,Siskiyou,138,38,23,20,21,21,20,52.63
2303,Yuba City High,Yuba City Unified,Sutter,394,56,23,21,22,22,35,62.5
2304,Yuba City Independence Academy,Yuba City Unified,Sutter,21,1,7,7,7,7,7,7.0
2305,Yuba County Career Preparatory Charter,Yuba County Office of Education,Yuba,102,0,0,0,0,0,0,0.0
2306,Yucaipa High,Yucaipa-Calimesa Joint Unified,San Bernardino,628,61,24,22,22,22,40,65.57
2307,Yucca Valley High,Morongo Unified,San Bernardino,314,11,7,7,7,7,7,7.0
2308,Zupanic High,Rialto Unified,San Bernardino,47,0,0,0,0,0,0,0.0
